SDS 2.4	AQ Results	1.0
Filename	CKCO3-170830
PlateID	
Assay Type	Absolute Quantification
Run DateTime	8/30/17 6:17:35 PM
Operator	
ThermalCycleParams	

Sample Information

Well	Sample Name	Detector Name	Reporter	Task	Ct	Tm Value	Tm Type	Quantity	Qty Mean	Qty StdDev	Ct Median	Ct Mean	Ct StdDev	Ct Type	Template Name	Baseline Type	Baseline Start	Baseline Stop	Threshold Type	Threshold	FOS	HMD	LME	EW	BPR	NAW	HNS	HRN	EAF	BAF	TAF	CAF	
127	F7	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
128	F8	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
129	F9	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
130	F10	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
131	F11	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
132	F12	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
133	F13	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
134	F14	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
135	F15	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
136	F16	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
137	F17	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
138	F18	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
139	F19	jimmy161209	FAM	Unknown	35.70936			1.8079103E-4						Automatic Ct		Automatic			Automatic	0.051114295													
140	F20	jimmy161209	FAM	Unknown	34.242325			4.3622343E-4						Automatic Ct		Automatic			Automatic	0.051114295													
141	F21	jimmy161209	FAM	Unknown	33.796917			5.699675E-4						Automatic Ct		Automatic			Automatic	0.051114295													
142	F22	jimmy161209	FAM	Unknown	31.425026			0.0023676949						Automatic Ct		Automatic			Automatic	0.051114295													
143	F23	jimmy161209	FAM	Unknown	32.568027			0.0011920256						Automatic Ct		Automatic			Automatic	0.051114295													
144	F24	jimmy161209	FAM	Unknown	31.793695			0.0018975552						Automatic Ct		Automatic			Automatic	0.051114295													
145	G1	jimmy161209	FAM	Standard	Undetermined			1.0E-6						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
146	G2	jimmy161209	FAM	Standard	Undetermined			1.0E-6						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
